Dataset,Model,Protocol,Seed,R2,Spearman,Recall_2%,Recall_5%,Jaccard
TYK2,GP,random-exploit,250,0.6079537986582813,0.7821147917226255,0.026859546,0.06478909,0.670843776106934
TYK2,GP,random-exploit,500,0.6225073278064781,0.7876595125001961,0.027029771,0.06497178,0.6750418760469011
TYK2,GP,random-exploit,750,0.6397807128986102,0.7968359427783025,0.02691975,0.06502351,0.6820857863751051
TYK2,GP,random-explore-exploit,250,0.6022260789827014,0.7758799459639704,0.026873294,0.06523645,0.6764459346186086
TYK2,GP,random-explore-exploit,500,0.6351057484491385,0.7962280590622451,0.026927965,0.06486415,0.6750418760469011
TYK2,GP,random-explore-exploit,750,0.641182377447843,0.80323328404077,0.027167037,0.06449848,0.6736401673640168
TYK2,GP,random-random-exploit,250,0.6284030399931253,0.8019985437005991,0.027215999,0.0652918,0.6877637130801688
TYK2,GP,random-random-exploit,500,0.6123597456989582,0.7847784546621727,0.026716055,0.06474569,0.6792611251049538
TYK2,GP,random-random-exploit,750,0.6329752763563371,0.8002375619654487,0.027230645,0.06446639,0.6849199663016007
Mpro,GP,random-exploit,250,0.4690919706461376,0.714461499163046,0.017774891,0.052206423,0.6296296296296297
Mpro,GP,random-exploit,500,0.4880142725796014,0.7122726451172792,0.017774891,0.052453153,0.6097560975609756
Mpro,GP,random-exploit,750,0.5137756747699498,0.7195864276344974,0.018073168,0.05259358,0.6296296296296297
Mpro,GP,random-explore-exploit,250,0.48126440116380287,0.7246849525589554,0.017774891,0.052206423,0.5903614457831325
Mpro,GP,random-explore-exploit,500,0.5029462851945294,0.7153988250813176,0.017774891,0.05266312,0.6097560975609756
Mpro,GP,random-explore-exploit,750,0.4836701620224162,0.7251364532125453,0.017774891,0.05199716,0.6296296296296297
Mpro,GP,random-random-exploit,250,0.4849664140857467,0.7270982367541674,0.017774891,0.052206423,0.5903614457831325
Mpro,GP,random-random-exploit,500,0.4881304223609708,0.7043621424380063,0.017774891,0.052675948,0.5714285714285714
Mpro,GP,random-random-exploit,750,0.5320781519940114,0.7361308901806669,0.018084845,0.052170813,0.6708860759493671
D2R,GP,random-exploit,250,0.33780445087728805,0.43268048049128277,0.02454379,0.059471074,0.4662756598240469
D2R,GP,random-exploit,500,0.2892072132028394,0.45184844299140464,0.025132755,0.059729394,0.5105740181268882
D2R,GP,random-exploit,750,0.33158601496872653,0.45877501577647845,0.024622047,0.06074184,0.49700598802395207
D2R,GP,random-explore-exploit,250,0.36702457311751635,0.5198080487829583,0.024819687,0.060111374,0.5060240963855421
D2R,GP,random-explore-exploit,500,0.29694388681812023,0.4978329504335745,0.024566459,0.05970096,0.49700598802395207
D2R,GP,random-explore-exploit,750,0.36931444472090014,0.5079141348723233,0.025835024,0.06220478,0.5105740181268882
D2R,GP,random-random-exploit,250,0.30656608727735624,0.43686088427401676,0.024376012,0.057970945,0.4662756598240469
D2R,GP,random-random-exploit,500,0.305596726977726,0.5003821847519556,0.024919543,0.05939035,0.5197568389057751
D2R,GP,random-random-exploit,750,0.3675354349512926,0.4864374035300424,0.02508542,0.060396552,0.5151515151515151
USP7,GP,random-exploit,250,0.6840391726001964,0.8362532765444504,0.024337517,0.05937483,0.6878727634194831
USP7,GP,random-exploit,500,0.6586382968506608,0.8203330501057486,0.023652304,0.05838624,0.658203125
USP7,GP,random-exploit,750,0.670315904549279,0.8324629018890206,0.02391813,0.059106514,0.6778656126482213
USP7,GP,random-explore-exploit,250,0.6797531905541565,0.8347993448747538,0.023896538,0.059502184,0.6712598425196851
USP7,GP,random-explore-exploit,500,0.6516260676972618,0.8161622626649737,0.023696752,0.05876224,0.6712598425196851
USP7,GP,random-explore-exploit,750,0.6634546630701799,0.8237781186364833,0.024002261,0.059316844,0.6614481409001957
USP7,GP,random-random-exploit,250,0.6848055033570626,0.834594726650349,0.02434765,0.05900481,0.6845238095238095
USP7,GP,random-random-exploit,500,0.6524188854897213,0.8159052255364025,0.0239332,0.05905578,0.6517509727626459
USP7,GP,random-random-exploit,750,0.6599321239855707,0.8232396848397422,0.02404248,0.058329467,0.6614481409001957
